No,ツール区分,ツール名,概要,クライアント/EC2,メリット,デメリット,無料・有料
1,ラッシュツール,JMeter,JMeterは、WebサイトやAPIに大量のユーザーが同時にアクセスしても問題が起きないかを試すための負荷テストツールです。設定次第で数千・数万の仮想ユーザーを一斉にアクセスさせて、本番前の耐久テストができます。無料で使え、使い方に慣れれば高機能ですが、初期設定や操作画面の扱いには慣れが必要です。,クライアント,"・無料で高機能
・HTTP/FTP/データベースなど様々な通信に対応
・大規模アクセスのシミュレーションが可能","・操作画面が重くなりやすい（非GUIモード推奨）
・初期設定がやや複雑
・分散テストには複数PCの連携が必要",無料
2,ラッシュツール,Distributed Load Testing on AWS,AWSが提供するクラウド上でのJMeter実行サービスです。JMeterを自分でセットアップせずとも、ブラウザ操作だけで数百〜数千のアクセスをAWSサーバからシミュレーションできます。使った分だけ課金される従量課金型です。,EC2（AWSマネージド）,"・自分で環境を構築せず使える
・大量アクセスの分散テストも簡単に実行可能
・AWSと自動連携できる","・従量課金なので、テストのたびにコストが発生
・無料ではない
・細かいカスタマイズには限界あり",有料（従量課金）
3,ラッシュツール,Gatling,Gatlingは、高速で軽量な負荷テストツールです。プログラミングでシナリオを細かく書けるため、自動テストやCI/CDと相性抜群です。無料版でもRecorderと呼ばれるGUIツールを使って、Web操作を記録してテストスクリプトを生成することができます。ただし、テスト実行や結果分析は基本的にコマンドラインベースで行います。,クライアント,"・とても高速、軽量で高精度なテストが可能
・コードでテスト条件を細かく制御できる
・Recorder（GUI）でHTTP操作を録画しスクリプト生成が可能
・CI/CDとの連携に最適","・Recorder以外は基本コマンド操作
・実行・結果管理はGUIなし
・プログラムの知識が必要
・初心者には少しハードルが高い",無料
4,ラッシュツール,Gatling Enterprise（有料）,Gatlingの商用版で、GUIで簡単にシナリオを作成したり、レポートを視覚的に確認できます。CI/CD連携もスムーズで、企業でのチーム利用に向いています。,クライアント/EC2,"・Web画面から操作できる
・テスト結果をグラフで可視化
・商用サポート付きで安心","・有料（ライセンス制）で高コスト
・無料版より導入に申請が必要
・初心者向けにはやや複雑",有料
5,ペネトレーション,Metasploit,Metasploitは、ハッカーが使う攻撃手法を模擬して、システムに問題がないかを確認するためのセキュリティテストツールです。無料版でも多くのモジュールが使え、Pro版ではGUI操作やレポート機能が追加されます。,クライアント,"・実際の攻撃を再現できるため、非常にリアルなテストが可能
・無料でも多くの機能が使える
・学習教材や事例が豊富","・専門知識がないと使いこなすのが難しい
・誤用するとシステムにダメージを与えるリスクがある
・Pro版は有料",無料 / 有料(Pro)
6,ペネトレーション,Pacu,PacuはAWS専用のセキュリティ診断ツールで、特にアクセス権やIAM設定ミスをチェックするのに使われます。全てコマンドライン操作で、無料で使えます。,クライアント,"・AWSに特化しているため、IAM関連の弱点をピンポイントで検出可能
・無料で導入でき、軽量
・自動スクリプト実行可能","・CLI操作が前提のため、初心者には難しい
・GUIがない
・AWSの権限構成の知識が必要",無料
7,ペネトレーション,Amazon Inspector,AWS公式の脆弱性診断サービス。EC2やECRなどにインストールされているソフトのセキュリティを自動でスキャンしてくれる。Inspector自体はAWSが運営し、各EC2にエージェントを入れて使う。EventBridgeやSNSと連携可能。,AWSマネージド（EC2にエージェント）,"・自動で脆弱性チェック
・スケジュール設定可能
・EventBridgeやSNSと連携でき、通知も可能","・対応していないOSがある
・検出後の対応は手動
・スキャン数に応じて課金される",有料
8,ペネトレーション,Amazon GuardDuty,GuardDutyはAWS全体の動きを監視して、怪しいアクセスや動作をリアルタイムに検出してくれるサービスです。CloudTrailやVPC Flow Logsと連携して動作し、攻撃の兆候を素早く知らせてくれます。,AWSマネージド,"・ほぼ設定なしで開始できる
・リアルタイムで異常を検知
・他AWSサービスと連携がスムーズ","・対応は手動対応が必要
・誤検知がある可能性もある
・従量課金でコストが不透明になることがある",有料
9,GUI自動化ツール,Selenium,SeleniumはWebページを人間が操作するようにテストできる自動化ツールです。例えば「ログイン→クリック→送信」などの一連の動作を記録し、繰り返し再現します。多くのプログラミング言語で利用可能で、世界中の開発者に使われています。,クライアント,"・無料で使える
・複数ブラウザに対応
・自動化によって工数削減できる
・多言語サポートあり","・動作が不安定なこともある
・プログラム知識が必要
・GUI設定がないため導入時にやや苦労する",無料
10,GUI自動化ツール,Katalon Studio,KatalonはSeleniumをベースにしたGUI操作可能な自動テストツールです。ノーコードでも始められ、無料版でも主要機能が利用可能。有料版ではCI/CD連携やレポート分析などの機能が強化されています。,クライアント,"・操作が簡単、非エンジニアでも扱いやすい
・無料版でもかなり使える
・レポートも視覚的で見やすい","・無料版には制限あり
・日本語ドキュメントが少なめ
・複雑な条件分岐は有料版でないと難しい",無料 / 有料
11,GUI自動化ツール,TestComplete,TestCompleteは、ボタンを押す、文字を入力するなどのGUI操作を録画し、自動で繰り返してくれる商用テストツールです。ノーコード対応で、初心者にも導入しやすく、企業のQA部門でよく使われます。,クライアント,"・録画機能で操作を自動化
・サポートが手厚い
・初心者でもすぐ使える","・ライセンス費用が高い
・導入には企業の承認が必要なことも
・英語ベースの操作画面が多い",有料
